username,tweet,value
malangposco,Tarik ulur penyelenggaraan pendidikan luring daring dan blended learning di sekolah menjadi sebuah perdebatan menarik di era pandemi Covid-19.   https://t.co/wsmgDHDpCS,positif
taniaschubring,Heran nih sama orang² ngebet banget mau sekolah padahal kasus covid lagi naik percuma nyindir presiden juga gaakan di ijinin sekolah luring. Main logika aja deh kasus covid lagi naik²nya masa kalian mau tetep maksa masuk? Yang ada malah nyusahin nakes doang deh gblk.,negatif
ismki_wilayah2,Seperti yang kita ketahui virus COVID-19 membuat semua kegiatan dilakukan daring hingga akhirnya keadaan sudah mulai membaik dan akan dilakukan kegiatan sekolah kembali luring namun apakah murid-murid di Indonesia sudah siap untuk menghadapi sekolah luring?,negatif
kompascom,Dalam kondisi pandemi Covid-19 seperti saat ini pihak sekolah masih bisa melakukan MPLS secara daring maupun luring tanpa tatap muka.  https://t.co/8hA2PtbFIt,positif
kirfosca,Halo Sobat FOSCA 👋  Tidak terasa pandemi telah berlangsung kurang lebih selama 1 tahun. Berbagai kebijakan telah dilaksanakan salah satunya yaitu meniadakan sementara kegiatan proses pembelajaran (Sekolah) luring dan beralih ke daring untuk menekan penyebaran COVID-19.,positif
priellaaa,Aku..... Udah..... Pembagian..... Rapot........  BARARTI AKU NAIK KELAS 12 DONG ?!!?????!!!!!!  🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️ Semoga sekolah luring jangan daring mulu. Dan covid cepat selesai aamiin,positif
netizenmu,"RT muhammadiyah ""Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/awBz19PWFi  #Pendidikan #COVID19""",positif
muhammadiyah,Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/xiqe9I0fMB  #Pendidikan #COVID19,positif
netizenmu,"RT muhammadiyah ""Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/awBz19PWFi  #COVID19""",positif
muhammadiyah,Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/xiqe9I0fMB  #COVID19,positif
boncusho,@aewin86 😱😱😱  ini krn varian baru atau krn kerumunan? sy sejak sekolah luring penasaran sama evaluasi covidnya... kl ada berita sekolah tutup lrn gurunya yg covid. Apa bener sebelum varian Delta anak² aman dari covid?,negatif
borneonews,Terapkan Penerimaan Peserta Didik Baru Luring Sekolah Diminta Koordinasi dengan Satgas Covid-19   https://t.co/k32kKrl2Lp,positif
firlyazn,Waktu sekolah mau luring kasus covid meningkat. Saya jadi bertanya-tanya 🤔,negatif
humas_jogja,Berikut beberapa poin yang perlu diperhatikan:  1. Penekanan untuk sekolah tatap muka daring dan luring sesuai dengan zonasi masing-masing. Namun tata cara pembukaannya mengacu pada sekolah percobaan yang sebelumnya telah diujicoba oleh Pemda.  #COVID-19 #PPKMMikro,positif
drbambangedis, https://t.co/0ue4YixEkA  Kasus anak dianggap tidak banyak. Benarkah ? Mungkin karena mereka belum sekolah luring...Tapi ada info bahwa angka kematian anak covid yang ranap di Jakarta itu 40% loh...  Siapakah sekolah luring? #sekolahluring #bukanhoax   @nadiemmakarim  @jokowi,negatif
adkestwit_ugm,1. Keputusan luring/daring diserahkan sepenuhnya pd Fakultas/Sekolah masing-masing bagi mahasiswa yg diberi kesempatan luring hrs menyertakan surat izin tertulis dr orang tua serta dosen terkait (sesuai kebijakan masing-masing dosen) &amp; surat keterangan tes non-reaktif Covid-19.,positif
_twentyoneeee,@collegemenfess setuju sebenernya buat segera sekolah luring biar lebih efektif pembelajarannya tapi harus dipastiin murid dan guru harus tetep patuh protokol kesehatan selama pembelajaran untuk mengantisipasi klaster Covid dari sekolah. aku khawatir ngelihat sekolah di-,positif
bocahlopak,sekolah luring takut kena covid sekolah daring takut ga pinter,positif
shimabirdcantik,@Iembayungsenja_ @ElioAglio @collegemenfess Tapi kalo bener² nunggu ini kasus hilang lama bgt. Bahkan di negara asia timur 85% udh mulai luring negara² di eropa pun udh banyak yg buka sekolah bahkan kasus covid dsn jg blm terkendali. Jgn sampe pendidikan indo tertinggal dari luar negeri. Iyaa kalo yg soshum-,positif
seycretx,@schfess jujur kangen luring dan mau luring walau udh nyaman sama daring tapi ngeliat berita sekolah yg udh luring tapi malah banyak yg kena covid jadi takut.. tapi kepengen luring kepengen rasain jadi mahasiswa offline:),positif
salmay10997981,@schfess Setuju sihsoalny byk anak yg mentalny gk bisa berkembangmisal ada anak masuk SMP luringtp mentalny masih anak kelas 5 SD karena udah gk sekolah (tatap muka)2 taun. Tp kurang setuju jg karena kasus covid trus nambah. Sulit bgt sih pandemi ini,positif
aster_fall,selain itu juga kasus covid-19 yang prognosisnya buruk itu di pasien remaja-dewasa-lansia untuk di anak-anak relatif lebih ringan manifestasinya (alasan knp anak-anak bukan target utama vaksin saat ini). jadi ya... mungkin ada baiknya dicoba pelan-pelan sekolah luring spt biasa,positif
ridwan0726,@Kota_Tangerang @Itjen_Kemdikbud @DisdikTangkot Bahkan di lingkungan rumah mereka pun juga mengabaikan prokes seakan² sudah bebas dr pandemi Covid-19. Beberapa kali saya ke sekolah (mengantar tugas² anak saya) selalu melihat guru² tanpa masker??? Biar anak saya tidak mengikuti PAS Luring dr pd anak saya terkena Covid-19..,negatif
ridwan0726,@Kota_Tangerang @Itjen_Kemdikbud @DisdikTangkot Dengan melihat situasi dan kondisi saat ini saya dengan (sangat) terpaksa tidak bisa mengizinkan anak saya mengikuti PAS Luring. Karena saya melihat sendiri ketidak-taatan melaksanakan prokes Covid-19. Saat hendak masuk / pulang sekolah siswa/i melepas masker. Bahkan di..,negatif
ridwan0726,Secara pribadi saya siap menerima konsekuensi jika anak saya tidak ikuti PAS Luring (nilai 0 / nol) daripada anak saya terinfeksi Covid-19 (sudah mengisi formulir kesehatan dari puskesmas dimana lokasi sekolah anak saya berada).. 😟😒😞,negatif
evisrirezeki,Sebab Memei udah sekolah luring sebetulnya saya khawatir. Memei kan belum bisa divaksin.   Alhamdulillah setelah baca berita sekarang Ikatan Dokter Anak Indonesia (IDAI) mengeluarkan rekomendasi pembaruan terkait vaksinasi COVID-19 untuk usia 6 tahun ke atas. #VaksinLindungiAnak,poisitif
kendarinformasi,Untuk mempermantap perkuliahan tatap muka atau luring Sekolah Tinggi Manajemen Informatika dan Komputer (STIMIK) Bina Bangsa menggelar vaksinasi Covid-19 dosis kedua bekerja sama dengan Kepolisian Resor (Polres) Kendari Jumat (15/10/2021).   https://t.co/3wrWOWmoxr,positif
peggiat_bocah,Alhamdulillah sekolah sudah dibuka kemvali walau masih taraf uji coba daring-luring.Separo tatap muka dan separo dengan zoom meeting yang tentu butuh modal fasilitas teknologi yakni laptop dan jaringan WiFi yang kuat. Semoga segera normal.pandemi covid 19 segera berakhir.,positif
bemfkmunmul,[PREVENTIVE NEWS : TIPS TETAP AMAN DARI COVID-19 SELAMA PEMBELAJARAN TATAP MUKA DI KAMPUS/ SEKOLAH]  Jangan lupa tetap terapkan protokol kesehatan saat menjalani perkuliahan luring. Ingat pesan ibu cuci tangan ingat pesan ibu jaga jarak dan ingat pesan ibu pakai masker.  https://t.co/Ni8ERnFGfx,positif
istiwalujanti1,Slmt mlm gaess cm mau numpang ngeluarkan unek2 yahh...banyak siswa guru dan ortu ngeluh PJJ/daring banyak kendala solusinya apa ya PTM/luring. Sekalinya ada kesempatan menyiapkan PTM yahh kok ya muncul klaster sekolah. Mbok ayo sadar prokes covid together. Yg bgn ni aku capek.,positif
kissfmjember,Menyusul turunnya kasus Covid-19 di Jawa Timur menjadikan Pembelajaran Tatap Muka  (PTM) di sekolahpun akhirnya mulai dijajaki. Bnyk pihak memperkirakan Blended Learning atau sekolah daring yg dikombinasikan dgn luring dan PTM bakal menjadi pola pendidikan nasional di masa depan.  https://t.co/l5Qln2q5yu,positif
notyoursst00pid,@AREAJULID sorry OOT di sekolah gue dikit yg mau ptm karna rumahnya pada jauh trus ptm cm 3 jam blum lagi takut kena covid. Tapi emng anaknya pd rajin jadi mau daring luring masih belajar 🙂,positif
radar_malang,Terdapat 172 ribu pelajar di kabupaten Malang yang masih berisiko terpapar sekaligus menularkan virus Covid-19 jika dipaksakan mengikuti sekolah luring. #PTM #VaksinasiCovid19 #sekolah  https://t.co/7a9UiAoZI2,negatif
kabarmalangcom,Vaksinasi Malang Kota Bagi Pelajar Dimulai Sekolah Luring Diwacanakan Vaksinasi Covid-19 untuk pelajar di Kota Malang telah berlangsung sejak kemarin Rabu (5/8) di SMA N 2 Kota Malang   https://t.co/9FUoMV9kmi,positif
taniaschubring,Heran nih sama orang² ngebet banget mau sekolah padahal kasus covid lagi naik percuma nyindir presiden juga gaakan di ijinin sekolah luring. Main logika aja deh kasus covid lagi naik²nya masa kalian mau tetep maksa masuk? Yang ada malah nyusahin nakes doang deh gblk.,negatif
ismki_wilayah2,Seperti yang kita ketahui virus COVID-19 membuat semua kegiatan dilakukan daring hingga akhirnya keadaan sudah mulai membaik dan akan dilakukan kegiatan sekolah kembali luring namun apakah murid-murid di Indonesia sudah siap untuk menghadapi sekolah luring?,positif
priellaaa,Aku..... Udah..... Pembagian..... Rapot........  BARARTI AKU NAIK KELAS 12 DONG ?!!?????!!!!!!  🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️ Semoga sekolah luring jangan daring mulu. Dan covid cepat selesai aamiin,positif
netizenmu,"RT muhammadiyah ""Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/awBz19PWFi  #Pendidikan #COVID19""",positif
muhammadiyah,Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/xiqe9I0fMB  #Pendidikan #COVID19,positif
netizenmu,"RT muhammadiyah ""Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/awBz19PWFi  #COVID19""",positif
muhammadiyah,Proses pembelajaran secara tatap muka/luring Sekolah/Madrasah/Pesantren Muhammadiyah dilakukan setelah pandemi COVID-19 dinyatakan aman oleh Pemerintah Daerah  https://t.co/xiqe9I0fMB  #COVID19,positif
boncusho,@aewin86 😱😱😱  ini krn varian baru atau krn kerumunan? sy sejak sekolah luring penasaran sama evaluasi covidnya... kl ada berita sekolah tutup lrn gurunya yg covid. Apa bener sebelum varian Delta anak² aman dari covid?,negatif
borneonews,Terapkan Penerimaan Peserta Didik Baru Luring Sekolah Diminta Koordinasi dengan Satgas Covid-19   https://t.co/k32kKrl2Lp,positif
firlyazn,Waktu sekolah mau luring kasus covid meningkat. Saya jadi bertanya-tanya 🤔,negatif
humas_jogja,Berikut beberapa poin yang perlu diperhatikan:  1. Penekanan untuk sekolah tatap muka daring dan luring sesuai dengan zonasi masing-masing. Namun tata cara pembukaannya mengacu pada sekolah percobaan yang sebelumnya telah diujicoba oleh Pemda.  #COVID-19 #PPKMMikro,positif
drbambangedis, https://t.co/0ue4YixEkA  Kasus anak dianggap tidak banyak. Benarkah ? Mungkin karena mereka belum sekolah luring...Tapi ada info bahwa angka kematian anak covid yang ranap di Jakarta itu 40% loh...  Siapakah sekolah luring? #sekolahluring #bukanhoax   @nadiemmakarim  @jokowi,negatif
adkestwit_ugm,1. Keputusan luring/daring diserahkan sepenuhnya pd Fakultas/Sekolah masing-masing bagi mahasiswa yg diberi kesempatan luring hrs menyertakan surat izin tertulis dr orang tua serta dosen terkait (sesuai kebijakan masing-masing dosen) &amp; surat keterangan tes non-reaktif Covid-19.,positif
_twentyoneeee,@collegemenfess setuju sebenernya buat segera sekolah luring biar lebih efektif pembelajarannya tapi harus dipastiin murid dan guru harus tetep patuh protokol kesehatan selama pembelajaran untuk mengantisipasi klaster Covid dari sekolah. aku khawatir ngelihat sekolah di-,positif
bocahlopak,sekolah luring takut kena covid sekolah daring takut ga pinter,positif
shimabirdcantik,@Iembayungsenja_ @ElioAglio @collegemenfess Tapi kalo bener² nunggu ini kasus hilang lama bgt. Bahkan di negara asia timur 85% udh mulai luring negara² di eropa pun udh banyak yg buka sekolah bahkan kasus covid dsn jg blm terkendali. Jgn sampe pendidikan indo tertinggal dari luar negeri. Iyaa kalo yg soshum-,positif
seycretx,@schfess jujur kangen luring dan mau luring walau udh nyaman sama daring tapi ngeliat berita sekolah yg udh luring tapi malah banyak yg kena covid jadi takut.. tapi kepengen luring kepengen rasain jadi mahasiswa offline:),positif
amanpulungan,Minggu Ini Dr Anak ada meninggal. Saat Ini Dr anak kritis di ICU.laporan HNFC Kurang.kasus Covid naik. Kita tidak belajar dari India dan varian baru virus. Mohon sekali jangan mudik. patuhi protokol. Jangan pernah buka sekolah luring jk syarat tidak sesuai anjuran @idai_tweets  https://t.co/waXKG9QxJO,negatif
salmay10997981,@schfess Setuju sihsoalny byk anak yg mentalny gk bisa berkembangmisal ada anak masuk SMP luringtp mentalny masih anak kelas 5 SD karena udah gk sekolah (tatap muka)2 taun. Tp kurang setuju jg karena kasus covid trus nambah. Sulit bgt sih pandemi ini,positif
aster_fall,selain itu juga kasus covid-19 yang prognosisnya buruk itu di pasien remaja-dewasa-lansia untuk di anak-anak relatif lebih ringan manifestasinya (alasan knp anak-anak bukan target utama vaksin saat ini). jadi ya... mungkin ada baiknya dicoba pelan-pelan sekolah luring spt biasa,positif
pgnjadianime,@atlasanjaya dulu pas UAS tatap muka lagi pelajaran mtk itu gurunya malah muter muter kelas terus berenti tepat disamping meja ku. PLSS ITU KAYA ASDFGHJKL,positif
trans7,Durasi pelajaran tatap muka di DKI Jakarta diperpanjang. #Redaksi  https://t.co/fIzgdrTbvT,positif
drevachaniago,Pasien saya sdg tidak layak Vaksin tapi sekolahnya mewajibkan vaksin utk bisa ikut pelajaran tatap muka  Mohon perhatian dr @KemenkesRI &amp; @kemenpendidikan utk kasus-kasus spt ini  Biarkan murid tetap bisa sekolah dg syarat ada rekomendasi dokter  Tidak vaksin bukan berarti Covid,positif
kota_tangerang,Repost: tangerangtv  #sobattangerang - Pembelajaran Tatap Muka Terbatas di Masa Pandemi Corona Virus Disease 2019 (COVID-19) Tahap 1 Jenjang TK KB SPS PKBM dan LKP Tahun Pelajaran 2021/2022 akan dilaksanakan nih sob.  1)  https://t.co/m8uTOs2pv1,positif
jktinfo_id,Dinas Pendidikan DKI Jakarta menambah jam pelajaran pada Pembelajaran Tatap Muka (PTM) terbatas mulai dari tingkat Pendidikan Anak Usia Dini hingga Sekolah Menengah Atas saat Pemberlakuan Pembatasan Kegiatan Masyarakat Level satu. #jktinfo   https://t.co/u3jLmENhuD,positif
jabodetabekid21,Durasi Jam Pelajaran Sekolah Tatap Muka di Jakarta Ditambah Sejak PPKM Level 1   https://t.co/piEsFwnl5R,positif
tng_tv,#sobattangerang - Pembelajaran Tatap Muka Terbatas di Masa Pandemi Corona Virus Disease 2019 (COVID-19) Tahap 1 Jenjang TK KB SPS PKBM dan LKP Tahun Pelajaran 2021/2022 akan dilaksanakan nih sob.  Yuk cek sekolah/lembaga mana aja yg sdh bisa melakukan Pembelajaran Tatap Muka  https://t.co/a5nL1q5Xmm,positif
x0x0x0x0x0_5,@elL_yaSiieN Yess tatap muka itu bukan hanya untuk belajar ngaji atau pelajaran sekolah. Lebih dari itu mereka bersosial ketemu teman² nya ustadzah dll nya. Pasti sangat bersemangat. 🙏🙏👍👍,positif
kyrraan,23. mata pelajaran itu jadi mata pelajaran favoritku kalau habis dijelasin sama guru secara tatap muka misal hari ini PTM mapel kimia terus dijelasin otomatis kimia jadi mapel favku 🤩🤩,positif
aris_k17,Moga pelajaran tatap muka segera tercapai  https://t.co/1Dh2uuE7tX,positif
anaknegri76,"Katanya ada ancaman anak sekolah kalo yg tak ikut vaksinasi covidpelajaran tatap muka/ disebut PTM tdk berlaku.  E G P😎  "" Kirain mau di nuklir....!!""  😝  https://t.co/tSw6CdC5fM",negatif
yunsanpawss,@sannieloaf ptm itu pelajaran tatap muka ya?? Kalau iya jangan dulu sih menurut aku :( coba bilang ajaa kamu lagi sakit kalau misal dipaksa masuk,negatif
naqiyyah_syam,Jadi lebih nyaman kelak melepas anak mau Pelajaran Tatap Muka (PTM) jika sudah vaksin.  #BekalBukanKebal,positif
kurniaameliaa,Mempersiapka  pelajaran tatap muka  https://t.co/fzIUY6aSLZ,positif
by_you_i_g,"@alviz72 @aniesbaswedan 🤔""klo tdk diserahkan tdk boleh ikut pelajaran tatap muka"" :  1. Disebelahmana pernyataan itu? 2. Klo mmg tdk blh tatap muka bkn kah mksdnya bagus melindungin spy ga ktularan sementara Masa pandemi ya? Nanya ini lho  https://t.co/3pOej4ljY5",negatif
alviz72,"Hallo Pak @aniesbaswedan  bukan ini sebuah pemaksaan? kalau tidak diserahkan tidak boleh ikut pelajaran tatap muka. Yang kamu butuhkan surat pernyataan dari Pemerintah ""apa bila terjadi sesuatu thd anak dikemudian hari pemerintah bertanggung jawab penuh"".  https://t.co/lJ12B2tXji",negatif
akuncomotan,@anjasmara_ferry Untung sampe saat ini gw blm pernah ktmu tatap muka lgsg sama begundal 1 ini. Coba kalo ada kesempatan ketemu kapanpun n dimanapun gw mau ksh pelajaran biar bacotnya gak asbun lagi. DASAR ONTA TENGIK ENTE HAR !!!,negatif
hanny_nr,Nayla yg sudah vaksin kumplit kita izinkan sesekali pelajaran tatap muka. Ke sekolah diantar jemput dan prokes ketat ttp bikin khawatir tapi langsung pupus pas lihat Nayla bahagia ketemu teman dan gurunya walaupun hanya 2 jam.,positif
kyrraan,23. mata pelajaran itu jadi mata pelajaran favoritku kalau habis dijelasin sama guru secara tatap muka misal hari ini PTM mapel kimia terus dijelasin otomatis kimia jadi mapel favku 🤩🤩,positif
aris_k17,Moga pelajaran tatap muka segera tercapai  https://t.co/1Dh2uuE7tX,positif
anaknegri76,"Katanya ada ancaman anak sekolah kalo yg tak ikut vaksinasi covidpelajaran tatap muka/ disebut PTM tdk berlaku.  E G P😎  "" Kirain mau di nuklir....!!""  😝  https://t.co/tSw6CdC5fM",negatif
yunsanpawss,@sannieloaf ptm itu pelajaran tatap muka ya?? Kalau iya jangan dulu sih menurut aku :( coba bilang ajaa kamu lagi sakit kalau misal dipaksa masuk,negatif
naqiyyah_syam,Jadi lebih nyaman kelak melepas anak mau Pelajaran Tatap Muka (PTM) jika sudah vaksin.  #BekalBukanKebal,positif
kurniaameliaa,Mempersiapka  pelajaran tatap muka  https://t.co/fzIUY6aSLZ,positif
by_you_i_g,"@alviz72 @aniesbaswedan 🤔""klo tdk diserahkan tdk boleh ikut pelajaran tatap muka"" :  1. Disebelahmana pernyataan itu? 2. Klo mmg tdk blh tatap muka bkn kah mksdnya bagus melindungin spy ga ktularan sementara Masa pandemi ya? Nanya ini lho  https://t.co/3pOej4ljY5",negatif
alviz72,"Hallo Pak @aniesbaswedan  bukan ini sebuah pemaksaan? kalau tidak diserahkan tidak boleh ikut pelajaran tatap muka. Yang kamu butuhkan surat pernyataan dari Pemerintah ""apa bila terjadi sesuatu thd anak dikemudian hari pemerintah bertanggung jawab penuh"".  https://t.co/lJ12B2tXji",negatif
akuncomotan,@anjasmara_ferry Untung sampe saat ini gw blm pernah ktmu tatap muka lgsg sama begundal 1 ini. Coba kalo ada kesempatan ketemu kapanpun n dimanapun gw mau ksh pelajaran biar bacotnya gak asbun lagi. DASAR ONTA TENGIK ENTE HAR !!!,negatif
hanny_nr,Nayla yg sudah vaksin kumplit kita izinkan sesekali pelajaran tatap muka. Ke sekolah diantar jemput dan prokes ketat ttp bikin khawatir tapi langsung pupus pas lihat Nayla bahagia ketemu teman dan gurunya walaupun hanya 2 jam.,positif
hedy20lim,Belum lg sekolah yg maksa tetap ada pelajaran mewajibkan tatap muka di depan layar secara synchronous saja. Mengajar adalah synchronous.,negatif
kamue_idamanque,Pliss ya jangan muncul dulu hilal pelajaran tatap muka karena aku sedang terjebaxx zona nyaman pelajaran online,negatif
radio_kotabatik,Sekretaris Dinas Pendidikan Kota Pekalongan – Mabruri : Awal masuk semester II tahun pelajaran 2021/2022 adalah tanggal 20 Desember 2021 dengan melaksanakan pembelajaran tatap muka terbatas dengan prokes. #Liveinterview,positif
sman4bekasi,yang terbagi menjadi dua katagori yaitu di sekolah untuk kelas XI dan XII (3 hari kelas XII dan 3 hari berikutnya kelas XI) serta kelas X di rumah.  Pembiasaan peserta didik dalam rencana pembelajaran tatap muka pada KBM semester 2 tahun pelajaran  2021-2022.  https://t.co/Cx8u27y9oM,positif
poetri_srikandi,Pemerintah masih belum akan  berhenti Menggenjot vaksinasi  terlebih vaksinasi remaja sangat penting untuk melindungi pelajaran saat menjalani pembelajaran tatap muka (PTM) terbatas  #NKRISehatDenganVaksin  https://t.co/stmmbSwqq5,positif
tsur4r4_,Pemerintah masih belum akan  berhenti Menggenjot vaksinasi  terlebih vaksinasi remaja sangat penting untuk melindungi pelajaran saat menjalani pembelajaran tatap muka (PTM) terbatas  #NKRISehatDenganVaksin  https://t.co/qgSpzhMcs5,positif
smkbhs,Bismillah  Penilaian Akhir Semester (PAS) Ganjil Teori @smkbhs Tahun Pelajaran 2021/2022 secara tatap muka mulai Senin-Sabtu 6-11 Desember 2021 dengan tetap mematuhi protokol kesehatan.  #pasteori #pas2021  https://t.co/5doww5FPuL,positif
smamabhak,Penilaian akhir semester ganjil tahun pelajaran 2021-2022 SMA Martia Bhakti dilaksanakan secara tatap muka mulai tanggal 01-10 Jumadil Awal 1443 H | 06-15 Desember 2021 dengan tetap mematuhi protokol kesehatan.  https://t.co/J5jqbN10dy,positif
agakarebaa,Beberapa SD di Makassar mengurangi pelajaran tatap muka dari 6 hari menjadi 2 hari. Selebihnya daring.  Apakah ini antisipasi Pemkot Makassar setelah varian Omicron terdeteksi di Singapura dan Malaysia? Atau karena ada kasus baru pada murid SD di Makassar?,negatif
parstodayirib,Siswi SMA di Tabriz: Kami lebih suka pembelajaran tatap muka ketimbang online sebab belajar di kelas lebih mudah untuk menyerap materi pelajaran ketimbang secara virtual.    https://t.co/5F92TBzULl #Iran  #Sekolah  #SMA #Tabriz  #Iran #مدرسه #تبريز  #مدرسه  #دانشآموزان  #ایران  https://t.co/wLK6ZiBDsD,positif
beritasampit_id,#BeritaSampit PGRI Mentawa Baru Ketapang Berharap PTM Bisa Kembali Normal  https://t.co/EAzoszQKXk SAMPIT - Pandemi telah melandai Pelajaran Tatap Muka (PTM) berangsur-angsur mulai membaik dengan tetap...  https://t.co/0kfspJzHT9,positif
sfrnchngmin,Kalau buat pelajaran lebih mending tatap muka Tapi kalau ulangan daring aja,positif
media_linked,TRANS7: Durasi pelajaran tatap muka di DKI Jakarta diperpanjang. #Redaksi  https://t.co/kp3Q8tsynP,positif
trans7,Durasi pelajaran tatap muka di DKI Jakarta diperpanjang. #Redaksi  https://t.co/fIzgdrTbvT,positif
wira_dkk,@eg_nrs PTM ini Pelajaran Tatap Muka yaa ?  Saya suka Olahraga kalau PTM  badan jadi sehat dan yang paling penting bisa jajan diluar sekolah 😂😂,positif
reviewapaaja,Selain bansos Pemerintah juga tetap memberikan bantuan kuota internet bagi pelajar maupun pendidik hal ini tentunya membantu banget bagi pelajar yang belum melaksanakan pelajaran tatap muka.  https://t.co/PcepLLQMYo,positif
drevachaniago,Pasien saya sdg tidak layak Vaksin tapi sekolahnya mewajibkan vaksin utk bisa ikut pelajaran tatap muka  Mohon perhatian dr @KemenkesRI &amp; @kemenpendidikan utk kasus-kasus spt ini  Biarkan murid tetap bisa sekolah dg syarat ada rekomendasi dokter  Tidak vaksin bukan berarti Covid,positif
kota_tangerang,Repost: tangerangtv  #sobattangerang - Pembelajaran Tatap Muka Terbatas di Masa Pandemi Corona Virus Disease 2019 (COVID-19) Tahap 1 Jenjang TK KB SPS PKBM dan LKP Tahun Pelajaran 2021/2022 akan dilaksanakan nih sob.  1)  https://t.co/m8uTOs2pv1,positif
,,157
,,74
,,231
