username,tweet,value
iyannn128965,@SiKebongce @mohmahfudmd @karniilyas @KomnasHAM @Yusrilihza_Mhd @prabowo @amnesty @aliansibem_si Klo demo ya memang ada payung hukumnyanikahansyukuran tdk dilarang gini sob yg di permasalahin disini kan Memicu org untuk berkumpul saat Pandemimaksudnya apa,negatif
andre_andhikas,@mohmahfudmd Buntutnya juga ada narasi preman yg melanggar hukum di tangkap... Sementara pilkada yg membuat banyak korban pandemi di biarkan.. tebang pilih itu namanya boss..,negatif
pamongjagad,Pak @mohmahfudmd Sy suka bpak berceramah seperti ini tapi sesuaikan dan laksanakan dg realita. Kerumunan bukan hnya di lingkup FPI. Tp pesta pilkada kampanye haul n maulid nabi slma pandemi bnyk dilksanakan. Apa krn gengsi dan salah prediksi?   https://t.co/6KJU8YzquP,negatif
pakdhegondrong,@mohmahfudmd Betul pak. Kerumunan saat pandemi itu dilarang. Kecuali dilakukan orang dekat istana dan yg bertujuan untuk memfasilitasi anak menantu memperoleh jabatan sesegera mungkin. Sampai kabar seseorang positif covid sj ditunda agar pilkada tetap ber,negatif
nasutionsyarief,@jokowi Apakah setelah melibatkan lembaga indepen seperti Komnas HAM dapat mengembalikan nyawa org yg sdh melayang pak??? sebelum trjadi hrsnya semua pihak tdk semena2 klu ada aturan tdk boleh brkerumun pd ms Pandemi hrsnya semua org yg brkerumun pd saat ,negatif
dedimiz57883033,@jokowi Kok selama proses pilkada tidk ada pandemi sih? Giliran nikah anaknya HRS negara sibuk mengejar dan mencari pelanggaran HRS?,negatif
hayyaalalfalah9,@republikaonline Memaksakan pilkada ditengah lonjakan pandemi covid19 juga membahayakan kesehatan warga negara pak.,negatif
sudastika,"49) ""Ini penting krn msh pandemi COVID-19. Kita menginginkan pelaksanaan Pilkada dgn protokol kesehatan bisa direplikasi dlm pelaksanaan Pilkades"" ujar Akmal.  https://t.co/dLaNpDHslZ #MenangKalahPilkadaSehat @WawaSiti @HyugaTotoro @Nithasoya",positif
hisyam62425385,@DevitaM28808320 @07_abank Mereka tidak bodoh mereka memilih untuk membela keturunan Rasulullah. Jika memang kesalahannya ada membuat kerumunan di situasi pandemi. Lantas mengapa saat Pilkada mengadakan konser malah bebas. Renungkanlah itu apakah itu adil,negatif
izma_yanti09,@abu_waras Ayoo Jokowi hrs tanggung jwb Krn lg pandemi menyelenggarakan pilkada,negatif
rendy_azam,@Liliana_lestari @yssctmra @AREAJULID Pilkada itu udh di atur undang2. Dan klo di skip atau di tunda akan lebih banyak ruginya dr pada untungnya. Dan lu samain sama keramaian krn dia bikin acara kawinan di petamburan? Bego apa tolol mba? Org banyak kehila,positif
akuorangkaya1,@cunyukman @hmmaja12 @Harlendfebrian @daniadler33 @DesaKita2 Emg otak lu dipake? Wkwkwk gk usah ngomongin rakyat lah di masa pandemi lebih mentingin ngadain pilkada serah lu dah otak dibawah standart mau kaya apapun susah dikasih tau selalu mewajarkan hal,negatif
janakalinglung,24.Pemungutan suara Pilkada 2020 di tengah pandemi Covid-19 menuntut upaya terbaik dari semua pihak. Satu tahapan telah berhasil dengan sukses kita laksanakan. #MenangKalahPilkadaSehat @jokowi,positif
janakalinglung,1.Pilkada ditengah pandemi telah sukses dilaksanakan. Pilkada yang memakan anggaran 2046 triliun tersebut membengkak akibat kebutuhan protokol kesehatan. #MenangKalahPilkadaSehat @jokowi,positif
mhendratmoko,@DivHumas_Polri Masy patut bersyukur. Ditengah pandemi dan gaduhnya jagad politik agenda Pilkada berjalan aman lancar. Kurang ini itu bisa dimaklumi. Pemenang Pilkada akan menjadi pejabat publik yg baik jujur dan mampu sejaht rkyt majukan masy dan daerah.,positif
jamil_riyon,@geloraco Yang bikin pilkada di saat pandemi harus di tangkap...menyebabkan orang banyka fositif coronadan kehilangan nyawa,negatif
maymarmas,"@republikaonline ""Tersangka kerumunan"". Ungkapan hukum yg aneh lagi asing.  Kerumunan saat pandemi terjadi di seantero negeri. Dilakukan banyak pihak di banyak peristiwa. Paling merata kerumunan pilkada.  Lalu ada yg ingin dipidana jadi tersangka.   Ngga ",negatif
akuorangkaya1,@cunyukman @Mr_Herdiansyah @Harlendfebrian @daniadler33 @DesaKita2 Dihh? Mending golput jg saya wkwkwk lg pandemi disuruh pilkada giliran bikin hajatan di tangkepin eh wkwk,negatif
dani_omenk,@jokowi Suasana masih pandemitapi Pilkada tetap harus berjalan.Ada yg di Solo adapula di Medan,negatif
lucukami,@DivHumas_Polri Apresiasi yg setinggi tingginya atas kerja pengorganisasian yg baik terutama Jajaran Polri yg telah mensukseskan jalanya Pilkada 2020 ditengah Pandemi dan kegaduhan akibat ulah oknum pemecah belah bangsa.,positif
sphiraniuna,@ente_ajh @Fery_setu @suswoyoahmad @ustadtengkuzul Begitu ya? Ywdh kl gitu gw juga setuju usut tuntas itu semua kasus kerumunanmo lu anak presiden kekcucu rosul kekorang gila kekttp kudu di proses.pilkada aja aslinya gw gk setuju kok dilanjut kala pandemi,negatif
niewiw_wiyono,@Deancol2 @DhoniSyb @panca66 bisa ga loe omong gini ke yg ngadain PILKADA? urgensi PILKADA dimasa PANDEMI tuh apa sih? terus yg ngadain pengajian dg rutin itu juga KERUMUNAN lho.... mikir dong,negatif
nokbhen76,@jawapos kekurangan cuma satu menyelenggarakan pilkada di tengah pandemi hehe,negatif
haidorikun,@Budixusilo @AndiePeci Justru sy gak milih karena protes pandemi kayak gini nekat ngadain pilkada,negatif
maulana_andri,Proyek proyek proyek... yang mati gegara pilkada pas pandemi dianggap angin lalu aja ya ga boy? @kaesangp,negatif
whatacrazyworl4,@jokowi 9 bulan ngapain aja sih Pak? Narasinya masih sama aja. Kapan sadar sih Pak kalau Bapak gagal? Kapan sadar sih Pak ini perlu libatkan ahli pandemi? Ah sudahlah yg penting pilkada jalan anak menang.,negatif
dina45893276,@2TitikHitam @BBaksoceria @HayPiyo @NKRIHAR69617402 @Titok96024395 @MRiject @ustadtengkuzul Kalau Habib Rijiek Shihab di berikan sanki pidana di proses atas protokol kesehatanitu kaesang anak jaenudin proses donghukum jangan tebang pilihkarena dia juga su,negatif
fakthurxx,@AchmadRyan9 @shitlicious Tim menolak pilkada dikala pandemi tapi tetap menerima serangan fajar demgam riang gembira,negatif
pennyhepiyani,@Mun4fikunn Pemernth trllu memaksakan pilkada diadkan dimasa pandemi bromungkn krn salhsatu calon kepla daerhnya ada anggota keluarganya,negatif
tribrata_rl,Pilkada menuju tahap akhir. Ditengah Pandemi inidiharapkan para paslon tidak mengerahkan massa agar tidak menimbulkan klaster baru. #PilkadaAmanPatuhiProkes @divisihumaspolri @polda_bengkulu @gmargopo  https://t.co/n8c7K9NTmY,positif
totok_hand,@DivHumas_Polri Aman.? Rakyat ini prihatin dg berbagai statemen. Pandemi covid tidak kelihatan klo ada penyebaran juga ngga kelihatan kan? Dari awal para petinggi anggap remeh tapi kini rakyat yg kena akibatnya. Belum lgi tebang pilih yg kumpul2 pilkada a,negatif
rustamajicare,@tvOneNews siapa yang paling beranggung jawab atas penyelenggaraan pilkada? semoga tenang dan di ampuni dosa2 yang meninggal... tak ada pandemi saja ratusan yang bekerja di KPU saja banyak yg mati pi adem ayem aje...,negatif
is_syarif85,@OposisiCerdas Awal2 karena pandemi banyak napi yg dilepasterus pengurus KAMI ditangkap eh tau2 nya ditahanan polisi kena COVID19ad kerumunan di Petamburan luar biasa respeknya buat diusutpadahal pilkada lebih parah lagi.. hukum subjektifsuka2 kalian. Tap,negatif
nurfari47090997,@tvOneNews Ayo  salah siapa? Siapa yg memberi izin  pilkada di tengah pandemi ini ini harus d usut ky habib d petamburan sampai jd tersangka kalo pemerintah masih mau d percaya sama rakyat ayo berbuat adil jangan tebang pilih,negatif
ndprtma,@Dimdim22965876 @Marenkrd @ZanZa_237 @padantyaabiyyu @ichsanovsky @kaitokid01 @txtdaritng saya mengapresiasi pencapaian terbesar beliau dalam hidup yaitu sukses melaksanakan pilkada serentak dikala pandemi.,positif
adnanarrazi,@merakgalak @raja_bukan @AhokJamban @CNNIndonesia @jokowi 🤣🤣🤣🤣... Si anak kodok pawai konvoi berkerumun karena menang pilkada gak apa2 ya Otak Babi????  Ohhhh.. pandemi ni liat2 orang. Klu pilkada gak apa klu maulidan ya masalah..  Makan babi ,negatif
karhynd1,@irwan_dwi_a Pada pilkada di masa pandemi seperti ini banyak orang yang takut untuk keluar rumah dan memilih dirumah aja tanpa ikut partisipasi dalam pilkada. Namun hal tsb tdk bisa harus dijadikan alasan untuk golput.  #milenialmemilih #PartisipasiPoliti,positif
rosihan_anwar18,@andkaadi Tujuan pilkada di tengah pandemi emang kyk gitu. Untuk menambah beban masyarakat bukan malah meringankan.,negatif
sudastika,"33) ""Mereka bekerja keras belakangan ini untuk mendesain Pilkada sehat yang beradaptasi dengan kebiasaan baru di tengah Pandemi Covid-19"" imbuhnya.  https://t.co/TA55vYNlOq #PilkadaSuksesSemuaSehat @hans_tbn @RafikaBayu @garengpung25",positif
sudastika,"18) ""Pilkada kali ini berbeda krn ada ditengah pandemi. Kerjaan KPU bertambah krn hrs pastikan prokes berjalan. KPU sy nilai sukses. Sy pribadi ucapkan selamat"" ucap senator asal Jatim itu.  https://t.co/GSRuiGVuVd #PilkadaSuksesSemuaSehat @albertocung @SoniaNurita @sangpenyuluh",positif
dina45893276,@tvOneNews Gimana sama kaesang anak Jokowi Dia juga menciptakan kerumunanmengumpulkan orang dan gelar pilkada saat pandemi kenapa tidak di periksa secara hukumjangan tebang pilih Terlihat sekali rezim ini benci Habib Rijiek Shihab benci dengan ulama yang ,negatif
arfiecandra,@znvoy Iye tau alesan KPU nya itu yg tai artinyakan mrk tau klo pilkada di masa pandemi ya resikonya begitu 😂,negatif
lindapsprn,@jokowi Yang gapake masker namanya lalai Yang memaksa untuk beraktifitas di luar ketika pandemi namanya pilkada,negatif
afannni,@NephiLaxmus nah gitu dong berkoalisi mengajukan  calon dan bisa menangkan... jangan kayak di se marang dan so lo yg bisa mengajukan calon malah gak mengajukan.   btw kayaknya mesti berterimakasih kpd penguasa yg bertekad bulat tetap menyelenggarakan pilk,positif
dessysyahdani,@ezash Udah pilkada tetep dilaksanakan saat pandemi byk petugas yg positif bahkan meninggal tp kyknya malah lg sibuk buat persiapan 12.12 😅,negatif
totok_hand,@jokowi Prihatin dg kondisi negri ini di mana Pemimpinnya yg banyak masalah mulai dari anggap remeh covid lanjut kelabakan pandemi lanjut rakyat yg di persulit lanjut aturan kerumunan untuk yg di benci tp untuk yg pro dan keluarga aman dr hukum pilkada po,negatif
tryinsleepvvell,"@aimrod ""Lagi pandemi gini kok malah pilkada"" Dahal orang orang kaga pilkada juga kumpul kumpul. Aku sendiri kemarin jaga tps. Kalo di aku bnr2 nggk ada antrian. Memang tiap warga ada jamnya sendiri. Dan di tps ku kemarin nggk serame di coffeshop2 sih dan",positif
nufel,@jokowi Yang lalai itu yg tahu sdg pandemi tapi tetap menggelar Pilkada.,negatif
echopir,@jokowi iyaiya... masih pandemi.  kemarin pilkada aja tetap berlangsung walaupun banyak petugasnya pada positif  https://t.co/a6iNFkwLIg,negatif
kartuprankerja,@republikaonline Siapa bilang kita diam kita bersuara utk tunda pilkada saat pandemi..bapak bersuara kah..?!,negatif
jamil_riyon,@itsme_ini Yang bikin pilkada di saat pandemi tangkap...biar adil,negatif
mekos12554651,@alexander_murfi Bukan salah pelaku tapi salah peraturan KPU . Kenapa masa pandemi ada pilkada kok tidak  dikajidulu dampaknya. Gimana baiknya.,negatif
aryprasetyo85,Azis mengapresiasi keberhasilan ini berkat kerja sama antarlembaga dalam penyelenggaraan pilkada serentak 2020. Tantangan perhelatan ini sangat besar mulai dari pandemi Covid-19 hingga menjaga mutu demokrasi. @jokowi @KPK_RI @KSPgoid @SatyaJogja_ @Cahaya_B  https://t.co/CX1bHdZXYF,positif
celebesid_,@zarazettirazr @republikaonline Harusnya kalau pernyataannya begini .. kita sebagai rakyat yg sangat marah . Awal pandemi ada yg main tiktok . Ada yg promosi traveling  sampai terakhir ada yg gelar pilkada . Trus dia ngomong untuk siapa ya ?,negatif
omar2000nur,MANTAAPPP  si fadhil sdg mengkritik keras pelaksanaan PILKADA di tengah PANDEMI COVID 19  cc @KPU_ID @bawaslu_RI @mohmahfudmd @Kemendagri_RI @DPR_RI,negatif
henkmizell,@detikcom *BAWA MAYATNYA KE ISTANA KARNA PRESIDEN HARUS BERTANGGUNG JAWAB ATAS PERINTAH PILKADA HARUS BERLANGSUNG DIKALA MASIH PANDEMI COVID!,negatif
sudastika,12) Pertimbangan lain yg mendorong penyelenggaraan Pilkada mesti tetap berlangsung selain krn amanat Undang-Undang juga krn tak ada satu org pun yg tahu kapan pandemi akan berakhir.  https://t.co/jqlNti1WGE #PilkadaBerjalanSukses @TogogEDANneh @Flamboyan59 @petanibiasasaja,positif
arbzed,@opaopao19996829 @soylana_ @txtdrpemerintah ya gue juga salah satu orang yang ga setuju dan protes keras soal pilkada ditengah pandemi. ga cm soal rijik kok nang aja gw bukan cebong gw bukan kampret wkwkwkwk,negatif
7sevenastra,@areeff @geloraco Acara taun baru di larang alasan pandemi... Pilkada kagak komen lo PDIP sialan. Kumpulan para bajingan,negatif
bubun_ali,@tikoubeast @kompascom Selama pandemi corona ada banyak peristiwa berkumpulnya orang-orang seperti kemarin demo yg dihadiri ribuan orang menentang omni bus law kampanye pilkada yg dihadiri ribuan orang haul Abah Uci Banten dihadiri ribuan orang...artinya ,positif
ali_gilbran,"@naajich @Nyenyen18983370 @QaillaAsyiqah Etis kah? Lagi pandemi tetap menyelenggarakan pilkada?gabisa ditunda apa?penting mana kesembuhan indo dari pandemi melalui vaksinapa pemilihan kepala daerah?""ini bukan soal cebong kadrunini soal kemanusiaan""-Dr Tir",negatif
m_anzar35,@tifsembiring Semua hal yang tidak sejalan dengan pemerintah ujungnya akan di fonis saraanarkis dan kirminalis  Pilkada di tengah pandemi.? Anarkis.? Karna mengorbankan dan memaksa banyak pihak beresiko sakit. Sara karna menetang kebijakan pemerintah di r,negatif
biangke181274,@dr_koko28 Jujurdisini saya merasa prihatinsudah jelas2 pandemi...tp demi meraih jabatanpilkada tetap d laksanakan...lg2 rakyat kecil yg d korbankan demi syahwat kekuasaan,positif
culikhambau,@yatsatc Yg mengadakan pilkada kemaren harus di seret jg. Menyebabkan kerumunan saat pandemi.,negatif
chitatobaru,@wisnu_prasetya beda sama di alhambra keadaan kacau balau pilkada terobos aja bantuan pandemi di korupsi asw emg.,negatif
dina45893276,@DanteSp94759265 @EnggalPMT Jemput juga dong anak nya joko Dia juga sudah melakukan pelanggaran protokol kesehatan covid karena sudah mengumpulkan warga dan melakukan pilkada di tengah pandemihukum jangan hanya di pakai untuk kepentingan penguasaingat rak,negatif
dina45893276,@yunusberkahjaya Termasuk anak nya jokowi kan ya Di juga melakukan pengumpulan masa saat pandemimelakukan pilkada melanggar protokol kesehatan?,negatif
baladeva_,@sandalista1789 mending KPU isolasi mandiri masa APDnya terkontaminasi. bisa jadi bekas rumah sakit. hmm.. masa kena sebanyak itu. ga ada yg mw bantu klo uda gini. azabnya org yg pengen pilkada di masa pandemi gini gmna..,negatif
defikaaufa,@darrellfernando Cek suhu di tangan setelah cuci tangan saat pilkada baru disitu sih pengalaman ngaco selama pandemi ini. 💦,positif
putuveris,@redvlvetfactory Lalu  kemana nurani semua orang ketika nakes berjuang di garis terakhir... sementara pilkada tetap di gelar ketika wabah?... Sedari awal pelaksanaan pilkada ditengah situasi krisis pandemi sudah di tentang...   Andaikata pilkada tidak dig,negatif
sugarcrushhhhh,gpp pandemi blm kelar yg penting pilkada jalan. bener ga? @DPR_RI kan uang mening di pake pilkada dari pada bansos yah? ohya bansos jg di korupsi. bubar aja ga si?,negatif
nopsky2012,@KompasTV @Rosi_KompasTV Kecemasan terhadap pilkada terjawab sudah semua berjalan dengan aman dan terkendali meskipun dimasa pandemi.  Berkat kerja keras dan sinergi antar instansi apapun kendalanya masih bisa teratasi. Bravo untuk bapak menteri dalam neg,positif
andinotomato,@SoundOfYogi Kan pandemi? Sama aja sama pilkada/acara2nya harusnya bs dilarang karna lagi pandemi nggak sih?,negatif
sigromilir01,@PecintaKomando Kelancaran pilkada ditengah pandemi sbg rujukan new normal/tampilan aktifitas baru dng kaidah prokes.,positif
zanurayaki1,@Bilal_Goesti @dsuperboy ada pilkada serentak tetap di jalankan padahal lagi pandemi tapi uas tugas+presentasi tetep jalannnnnnnn,negatif
